industry,symbols
pow,"PIN,CTL,EXP,AEON,HUSH,SANDG,DOPE,CXT,VEC2,BTA,QRK,BELA,SCC,SIB,XDN,DTC,XMY,XPM,XCN,UBQ,KAT,ZER,ZCL,OMNI,POT,BCN,BSC,CKB,ZUR,ACOIN,DLC,START,BOLI,LCC,ZYD,CMT,XCP,FTC,CURE,BSTY,CF,QRL,FUZZ,NYC,SC,VLT,CANN,PXI,GRS,MONA,VTC,KRB,BIS,FIRO,CARBON,PAK,KURT,DGB,ANC,GRIN,ENQ,BEET,SONG,WBB,HNC,SYS,CLAM,IXC,SPR,BTCZ,ZET,XWP,VIA,FLUX,XRC,MUNT,EMC2,GCC,DIME,NOTE,FRC,SCP,YOC,NMC,BEAM,GCN,ZEN,DGC,TRC,UNO,TENT,ADZ,GLC,RVN,ERG,KDA,UFO"
zero-knowledge-proofs,"TLOS,DUSK,ARRR,PIVX,FIRO,ZCL,ZEN,CELR,SYS,XFT,PHA,VRSC,HEZ,POND"
political-memes,MVP
wallet,"ETN,VGX,DIVI,NEX,FIO,SXP,KCASH,SAFE,FYP,BRD,AWC,PLR,KDA,TWT,MATH,KLV,1INCH"
hybrid-pow-pos,"ZANO,MAX,CJ,KOBO,STRAX,TAG,LDOGE,SNRG,SHND,MST,C2,TROLL,GB,PUT,ENT,NEVA,CHESS,EMC,BLU,ARGUS,ICOB,IMS,ARB,XRA,BLOCK,DCR,AUR,PPC,UNIT,BITS,OPAL,MEME,SWING,TX,MEDIC,LTCR,ONION,CLOAK,TAJ,AMS,XDN,42,BIS,OK,RDD,NTRN,EUC,SLS,HVCO,THC,PKB,EDRC,FRST,XCO,IBANK,XPTX,ADC,LANA,ARCO,CNT,EVIL,NVC,2GIVE,N8V,PLNC,PINK,BSD,BERN,DEM,BITB,VRSC,MOTA"
oracles,"TRB,FUND,XYO,DIA,NEST,RLC,REP,IDNA,DOS,BAND,ZAP,OCT,WIN,AST,BIRD,UMA,PHA,BRG,API3,ORAI"
2017-2018-alt-season,"BSV,TRX,XVG,FTM,XTZ,THETA,ZEC,LTC,XMR,EOS,XLM,ETC,ADA,DASH,NEO,BCH,FIL"
hardware,"HPB,RVT,FX"
derivatives,"BLUE,CHESS,SRM,AUC,DGTX,JRT,JUP,MIR,SWTH,FNX,PTF,SAKE,PERP,INJ,SNX,HEGIC,UMA,HGET"
layer-1,"FIO,TLOS,HBAR,DUSK,XDC,TRX,CRO,CHR,FTM,KAVA,SOL,CHZ,XTZ,BNB,THETA,ALGO,LTC,OMNI,HIVE,AMB,GNO,WAXP,MTV,EPIC,SOUL,ADA,UNI,ONE,LTO,ONT,ZANO,MAN,ELF,IOTX,ERG,BCH,ENJ,TRAC,SYS,ANKR,ATOM,DOT,EGLD,AVAX,KDA,MOVE,NEAR,FIL,TON,INJ,ROSE,SKL,ORAI"
play-to-earn,"BRD,CARBON,DEP,POLIS,D,WAXP,BEAM,VIBE,XYO,ELET,RUNE,VOLT,CSPN,RBTC,SAND,CHI,REVV,GHST,PIRATE,AXS,UFO,SLP,GALA,CRBN,SKL,DRC"
ringct,"GHOST,PART"
mobile,"CELO,NEX,TENT,APPC"
spartan-group,"BAND,AKRO,OMNI,SNX,BEAM,OPEN,ALPHA,GAL,1INCH"
fan-token,"BFT,FOR,ASR,TH,CAI,OG"
data-provenance,"TRAC,ARNX,MFG,ZPT,FCT,TONE"
quantum-resistant,ILC
equihash,"HUSH,ZER,ZCL,KMD"
dao,"YAM,NAV,YFI,STAK,SURE,BAL,NIOX,CRV,EDG,GCR,RARI,OCEAN,PIVX,PNT,AKRO,GTC,KAT,ARB,CREAM,DCR,ZRX,COMP,CKB,FYD,AYA,SNX,PAR,PLR,DMG,KNCL,IQ,UMA,GRG,UNI,MTA,ANT,ELF,FLUX,STRAX,BOA,GEN,VOLT,CVP,HAKKA,SUSHI,YFII,SWRV,FARM,YF-DAI,CORE,KDA,SFG,AAVE,GHST,OCTO,EZ,FLM,AUDIO,BOND,IDLE"
ftx-bankruptcy-estate,"SOL,GT,ALEPH,WBTC,LIKE,FTT,DOGE,SRM,MATIC,XRP,TON,FIDA"
payments,"OMG,HT,MET,ERO,MANA,PUT,UQC,BTCZ,FREE,TFUEL,VOLT,PLU,UNO,WIX,RLC,XBC,UOS,CELO,QKC,REQ,MOBI,ORMEUS,RVT,AION,TENT,NMR,BTM,PLC,BBP,BCD,FUN,SWFTC,ERC20,MTL,FUEL,ABBC,BTG,LEO,RIF,SXP,QASH,NEXO,HBAR,NAV,BAX,FSN,TRX,DX,CRO,EXM,FTC,DOGE,SIX,CHZ,XDN,UTT,MNW,AGIX,XEM,PPC,DAG,GAS,DLT,BCN,AMON,APL,DNT,TDX,DGB,MTC,PAR,ONION,WAXP,WXT,DMT,LCC,TNC,XNO,ARK,LUNC,ZIL,NIOX,VRA,NYC,HC,RNO,GLM,BTC2,BIP,LBA,AST,MFG,MONA,VTC,STPT,IGNIS,LA,BF,BAT,BNT,EGLD,BRG,MOTA"
binance-launchpad,"GFT,ONE,CELR,PERL,MEME,TROY,BRD,CTSI,WRX,SAND,WIN,FET,KAVA,INJ,ALPHA,AXS,BAR"
dag,"GBYTE,VITE,BAN,DAG"
sports,"XFC,FOR,CSPN,FGC,APL,BAR,OG,GAL,ATM,CAI,TH,PSG,ASR,JUV"
smart-contracts,"RING,TFUEL,TRAC,QSP,ECOREAL,LRC,ZIL,EXRN,VEO,EVX,SALT,XTZ,UUU,MITH,EDG,TRUE,ODE,AST,DERO,MFG,GO,BNB,THETA,MRX,VEST,ICX,FTM,CTSI,TAU,PRO,VET,TLOS,EKT,IDNA,VSYS,WAVES,NTRN,CTXC,TRST,DUSK,NCT,XDC,LSK,STX,SONO,BAT,AERGO,BLZ,CELO,NEO,REQ,RET,ONE,LINK,PI,BTM,SRM,MAN,ELF,FLUX,STRAX,ETP,ERG,DIA,KIN,ENQ,DAPP,ZEN,REV,ADA,AE,DDD,ALGO,UTT,HYDRO,MFT,KAI,VEX,CRPT,XEM,ACT,HPB,EOS,HAI,DAG,GAS,CKB,XLM,MTH,ETC,AOA,QTUM,SOUL,PRQ,EGLD,PHA,AVAX,KDA,CAKE,BRG,INJ,CTK,ROSE,SKL"
centralized-exchange,"TDX,WXT,LEO,BIX,BTR,ONE,MAX,HT,FTT,DGTX,ASD,NGC,OKB,CRO,WRX,MX,TCH,EXM,KCS,BIR,PLA,GT,LA,BF,COB,SCC,BEST,PTF,WOO"
dpos,"LSK,DDK,OCT,ARK,KAI,ACT,HPB,XAS,HIVE,ABBC,ELF"
polkadot,"PCX,LIT,FRM,SUB,BLUE,OAX,EDG,DBC,ZRX,RLC,DOT,XOR,PHA,CRU,POLS"
store-of-value,"RSR,BSV,LUNC,MKR,PIVX,42,XNO,DCR,PPC,FYD,SCS,XBC,CRP"
marketplace,"KCS,LRC,LBC,PZM,HC,MDT,ZLW,PRIX,SWT,HEDG,DRT,BORA,GT,AST,LA,BF,KRB,ABYSS,REN,WAN,ZAP,BTU,POLY,QASH,OKB,HBAR,BMX,DUSK,FYP,SLS,MX,OAX,EXM,OWC,COB,NGC,BTR,BTO,NEX,ONE,UIP,VIBE,ABT,ELF,FUN,SWFTC,SMLY,FUEL,AION,NEW,TRAC,JS,NRG,AXE,UQC,HT,QKC,BOTX,RLC,BTS,UTT,CENNZ,AGIX,ZCL,BLOCK,LIKE,FTT,TEN,PKT,MTH,HOT,TDX,MTC,ONION,RED,LTCU,DMT,QBT,KNCL,LEO,BIX,PART,WPR,BNT,ARK,BEST,MOVE"
sharing-economy,"PKT,SUB,POWR,TFUEL,LOC,OCN,GEM,MIOTA"
depin,"EMC,ETHO,BLZ,RLC,GNX,INXT,MVL,MAN,FLUX,XYO,ADS,IOTX,NKN,DAPP,TRAC,HNS,DATA,ANKR,TFUEL,BDX,SOUL,SCP,SHDW,PIN,STORJ,LSK,ELA,DVPN,BEPRO,QRL,SC,GLM,MYST,ALEPH,OCEAN,XRT,MXC,LPT,LAMB,DBC,HOT,OXT,EGLD,AR,PHA,CRU,FIL,NCDT,AKT,RNDR,POND"
mimblewimble,GRIN
filesharing,"EDGE,ALEPH,LAMB,PAC,HOT,RIF,ZCN,SCP,SOUL,ETHO,BLZ,RLC,XPX,INXT,OPCT,FLUX,DATA,ANKR,SKY,UFR,ELA,STORJ,MAID,ILC,OCEAN,AXEL,AR,CRU,NCDT,FOL"
health,"MDS,DCN,MTN,MTC"
account-abstraction,PLR
celsius-bankruptcy-estate,"ZRX,FTT,SNX,LINK,1INCH"
services,"TLOS,NEXO,BNTY,TKN,KCASH,DENT,MDA,BFT,INK,VERI,KAN,EVX,CS,BRD,CND,FST,NYE,CRPT,CLO,FCT,PHX,GNO,RIF,C20,RCN,RLC,ULT,ORBS,OST,PLU,PRQ,BLY,CNS"
iot,"JOINT,SNTVT,SUB,MOBI,INXT,MVL,NCash,MAN,IOTX,NKN,GBYTE,NOIA,DATA,SMT,FDZ,ZCN,INT,RUFF,FET,CTXC,ROX,WTC,PZM,CS,MFG,XRT,IND,MXC,MYB,IOST,CPC,DGB,MIOTA,GEEQ"
layer-2,"AVT,NEX,CTSI,ARB,MOVE,SKL"
binance-alpha,"BUZZ,MAX"
rehypothecated-crypto,"RBTC,SOL,LBTC,WBB,HBTC,BTCB,RENBTC,WBNB,stETH"
scrypt,"YOC,BEET,TAG,SONG,LDOGE,WBB,HNC,C2,TROLL,PUT,VIA,DFT,SMLY,GLC,KAT,ASAFE,OMNI,POT,AUR,RBY,BITS,MEDIC,MUNT,EMC2,GCC,XHI,NOTE,BLK,GCN,DGC,MINT,CHESS,IMS,ICOB,ARGUS,42,PIN,DOPE,SLS,BTA,BELA,CMT,THC,ZENI,CURE,FRST,FUZZ,ADC,NYC,ARCO,NVC,2GIVE,PLNC,RDD,CARBON,PAK,IBANK,PIRATE"
yearn-partnerships,"CRM,CREAM,CVP,SUSHI"
platform,"TAU,WICC,NTK,VSYS,STORJ,GEM,LOOM,WAVES,SALT,LCX,ZIL,EXRN,VEO,QRL,SKY,SC,GLM,XTZ,NXS,TT,ARDR,TRUE,BIP,GMAT,NXT,DRGN,EDGE,GO,MYST,IGNIS,OCT,CSPN,DDK,TNC,NAS,TRST,MAID,BAX,FSN,RDN,LSK,MITX,CTSI,WEST,CTXC,STX,ELA,FTM,GNY,CMT,KAVA,XWC,UGAS,VEST,ZAP,SOL,CHR,OCEAN,MRX,CAS,DAG,DLT,BLUE,CKB,CPC,SEELE,HOT,AMB,ETC,DNT,AOA,QTUM,INT,S4F,RUFF,ZCN,REP,SCP,SOUL,NMC,BITS,UOS,AXPR,ZRX,REV,CAJ,AERGO,SRN,TOMO,JUP,DDD,ZEBI,ALGO,OCN,HYDRO,MFT,KAI,UBQ,LAMB,QNT,NULS,PRE,ENG,DBC,ACT,XAS,VITE,ZEN,NEBL,IOTX,ATOM,ERG,NKN,DIA,GBYTE,KEY,GXC,DAPP,GEN,ERO,SYS,MATIC,KMD,SONO,DATA,MET,MANA,ANKR,POA,RING,STRAX,APPC,HTML,RVN,BLZ,RLC,NEO,BTR,SUB,XPX,RET,ONE,GNX,MOBI,ICX,LTO,META,VIBE,FUND,PI,CELR,ABBC,ANT,BTM,MAN,DAPS,CRP,REVV,FRONT,KDA,NEAR,INJ,UFO,SKL,LINK"
arbitrum-ecosytem,"CTSI,OPEN,FRM,DIA,NEU,SWTH,BAL,LRC,DSLA,CRV,ROOBEE,PNT,BNT,LPT,ARB,CREAM,COTI,GNO,EMC,UNI,NEX,0xBTC,CELR,SUSHI,DF,MKR,NUT,COMP,YFI,BURGER,BRG,ANY,PERP,MATH,BOND,DODO,HEGIC,WOO,GRT,POND,BIFI"
logistics,"TRAC,PPT,WTC,MFG,CXO,MNW,TONE,XYO,BLY,GEEQ"
neoscrypt,"PXC,UFO"
entertainment,"TFUEL,JET,IQN,GEM,FLIXX,VRA,CAPP,SKIN,EVC,LIKE,PKT,WAXP,SHDW,DMT,MORE,MAX,REVV"
soccer,"XFC,FOR,OG,TH,ASR,CAI"
sha-256,"VEO,ZYD,LCC,PPC,UNIT,ACOIN,DLC,SWING,FRC,NMC,EMC,GRC,TRC,UNO,DONU,ZET,IXC,CF,XCO,CRW,DEM,BITB,BSV,NTRN,SANDG,EUC,HVCO,XPY,ELA,PKB,EDRC"
scaling,"ARPA,LOOM,RDN,CTSI,FTM,DDK,KAI,ARB,XAS,HIVE,VITE,XBC,ZEN,ONE,CELR,FUEL,NOIA,SYS,POA,BNT,PHA,RLC,PERP,VRSC,CTK,CKB,RNDR,ROSE,L2,HEZ,SKL,POND"
cardano,"COTI,MIN,ERG,API3,LINK"
real-world-assets,"QNT,SNX,RIO,TRADE,LTO,UNO,BTM,RVN,ADS,TRAC,SMT,ALGO,XDB,POLY,PIN,RSR,PRO,VET,HBAR,DUSK,XDC,LSK,CHR,MKR,PROPS,CTC,AVAX,XVS,INJ,TRU,EL,ORAI"
liquid-staking-derivatives,"DSLA,RPL,CHESS,stETH"
sec-security-token,"VGX,MATIC,OMG,MANA,POWR,ATOM,COTI,MIR,LCX,TRX,SAND,SOL,CHZ,LUNC,ALGO,FTT,ADA,AMP,NEAR,FIL,AXS,RLY"
crowdfunding,"WPR,NEU,BFT,POLY,WINGS,EMC2,CYCLUB"
interoperability,"SWFTC,DAPP,FRM,TRAC,SONO,RING,FLUX,ABT,TAU,OLT,XWC,EXRN,ICX,BAT,WAN,XDN,KAI,QNT,OMNI,CKB,RLC,NEX,FUND,PI,CELR,ELF,PAN,MAP,MTRG,PHA,VRSC,CTK"
masternodes,"TELOS,BITG,ETHO,XBI,TRC,TENT,DIVI,BBP,FLUX,STRAX,RUP,MONK,ENQ,XAP,BEET,PNY,SMART,INSN,NRG,AXE,SYS,ENT,COLX,ZEN,ESS,DMD,BDX,BSD,SPK,ZCR,XDN,MNW,BTAD,PAC,DIN,BLOCK,D,HNST,BECN,FYD,BOLI,MEME,GOSS,TX,MEDIC,ION,DOGEC,KLKS,IQ,CHEESE,FIRO,PIVX,SEND,OXEN,NIX,NTRN,BTX,XDC,SAFE,SPD,EXO,STAK,SIB,VIVID,SCC,CRM,CRW,CSPN,PHR,XDNA,BIR,DSR,PNX,WGR,IC,THC,SAPP,SFD"
events,"EVC,MORE,AVT"
binance-launchpool,"NTRN,OMNI,D,MEME,ANC,LIT,BEL,WING,XVS,DODO,ALPHA,HARD,UNFI,OG,GAL,JUV,CTK,ASR,PSG,ATM,FLM"
token,"BEAM,RLC,UQC,BRG"
staking,"WEST,SLS,XWC,FGC,VRA,NXS,MRX,PIVX,CHSB,BAT,XDN,KAI,PPC,FYD,PAR,ONION,XBC,PART,DMD,ZEN,CTSI,NEX,SAFE,NAV,DFI,OLT,CHESS,SRM,TENT,MIN,STRAX,FUEL,SHND,NOIA,ANKR,FREE,CRP,FRONT,BRG,NEAR,INJ,VRSC,SKL"
cat-themed,TCAT
video,"FLIXX,VRA,LPT,STREAM,MBL,COS,RNDR"
energy,"ELEC,ROX,TSL,GRID,SNC,WOZX"
multiple-algorithms,"XVG,QRK,XDN,DTC,XMY,XPM,VITE"
social-token,"ADM,CARBON,MINT,CRBN,RLY"
decentralized-exchange-dex-token,"UNI,NEX,SRM,MIN,GXC,RUNE,VOLT,BTS,DAX,ESH,LRC,NIOX,CRV,AST,CET,BNT,JUP,PEX,HYDRO,ZNT,PAC,ZRX,BLUE,WOM,SNX,HOT,GNO,TDX,MICRO,KNCL,VITE,BAL,IDEX,SWTH,SUSHI,LAYER,NVT,ANY,BURGER,CAKE,PERP,SAKE,OCTO,DODO,WOO,HEGIC,HGET,1INCH"
tourism,"EVN,TVNT,GDR,XLAB,KEMA"
collectibles-nfts,"CKB,MEME,JADE,WAXP,DMT,SOUL,UOS,RLC,LTO,MMO,VIBE,MAN,HTML,CEEK,SWFTC,ERC20,RUNE,VOLT,ENJ,TRAC,VEE,SYS,COMBO,LIKE,CRW,CSPN,CHZ,DSLA,OGN,VRA,GAME,RARI,DRT,MFG,MONA,BRD,ABYSS,CARBON,PNT,XNO,DEP,POLIS,BLOCK,D,LYXe,HNS,SONO,JET,MANA,OPEN,FTC,GET,SURE,FIO,SIGN,FET,CHI,TLOS,CTT,LYM,SAND,STX,CHR,SCC,COVAL,SUSHI,DGB,LAYER,CNS,CRP,REVV,GEEQ,KDA,BAKE,CAKE,GHST,MOVE,PIRATE,AXS,GXT,UFO,JGN,SLP,RNDR,ROSE,GALA,CRBN,DRC,VIDYA"
identity,"IDNA,INK,CVC,EWT,META,MAN,KEY,REM,EGLD,VRSC"
made-in-america,"XCN,LTC,OMNI,ZRX,EOS,COMP,DAG,XLM,DGB,SHDW,DOGE,ADA,ZEN,DASH,CELO,UNI,RIO,LINK,SUKU,ABT,TEL,ALGO,BDP,ZEC,BAT,RSR,HBAR,NCT,XVG,STX,KAVA,SOL,OGN,VAL,KSM,MKR,XTZ,DRGN,THETA,XNO,RVN,XYO,FLUX,IOTX,BCH,HNS,ANKR,TFUEL,DOT,AVAX,AMP,KDA,AAVE,MOVE,FIL,NEAR,INJ,PIRATE,HARD,AKT,GALA,SKL,GRT"
parafi-capital,"YFI,KNCL,UNI,MTA,KEEP,AAVE,BOND,RAMP,GRT,1INCH"
eos,"DAPP,IQ"
x11,"BSD,PINK,CNT,EVIL,N8V,PXI,KURT,XRA,BSC,START,BOLI,MEME,TX,BLU,ADZ,QBC,SNRG,MST,SPR,GB,ENT"
privacy,"ONION,ANC,CLOAK,EPIC,BEAM,BDX,PART,VEIL,ZEN,DASH,RLC,SNT,SUTER,BC,DAPS,ZANO,ERG,GRIN,XHV,TRAC,AXE,XWP,BTCZ,APL,DCR,ARRR,SIB,PHR,GHOST,SERO,SUMO,DERO,OXEN,VTC,PIVX,KRB,TRTL,BAT,FIRO,KURT,ZEC,SFX,ZER,ENG,ZCL,BCN,XVG,COLX,DUSK,NAV,HUSH,ALIAS,ADM,MSR,NIX,AEON,XFT,KEEP,CRP,PHA,SCRT,VRSC,ROSE"
real-estate,"ATL,IHT,RIO"
dao-maker,"BLOCK,FIN,PLOT"
retail,NCash
media,"FLIXX,XMX,IDH,POE,STEEM,UFR,MARO,CVNT,UUU,MITH,THETA,LUN,RDD,GTC,SKIN,RFR,LPT,ZPT,PST,COMBO,IFT,HIVE,VEE,WAXP,PKT,SHDW,VIB,IQ,STREAM,GFT,SNT,STMX,MBL,KIN,COS,ENJ,PUT,TFUEL,RNDR"
gambling,"PLAY,DPY,MCC,EDG,WGR,CSC,PLAT,CHP,TDP,SCS,BXC,PLA,DCNTR"
amm,"CRM,BAL,CRV,BIP,BNT,JUP,HYDRO,CREAM,UNI,NEX,SUSHI,SWRV,MIN,KNCL,ANY,BURGER,BAKE,CAKE,PERP,SAKE,SHARD,VRSC,WOO,1INCH"
desci,"HPO,RIF,NCDT"
gaming,"CSPN,VRA,PLA,GAME,BORA,CSC,CARBON,SKIN,RFR,DEP,POLIS,BLOCK,D,COMBO,PKT,DAWN,WAXP,SHDW,SOUL,BEAM,UOS,CHR,SAND,XMX,MOJO,PLAY,CHI,CTT,IQN,MMO,TRC,VIBE,MAN,ADS,FUN,MAX,RUNE,VOLT,RING,CRP,REVV,BURGER,BAKE,KDA,GHST,EGLD,AXS,PIRATE,ENJ,RNDR,UFO,GALA,SKL,DRC,CRBN,VIDYA"
yield-farming,"IQ,GRG,UNI,NEX,CHESS,ERC20,MEME,EGG,YAM,CRV,BIP,HYDRO,YFII,SUSHI,SWRV,CNS,CRP,FARM,YF-DAI,STRONG,CAKE,PTF,BURGER,XVS,OCTO,SHARD,EZ,FLM,BOND,BAL,ALPHA,APY,WOO,ROOK,SFI,MPH,TRU,IDLE,MIN,RLY,BIFI"
mineable,"NIX,RBTC,STX,SIB,XPY,VIVID,SCC,OTO,ELA,KZC,CMT,THC,CRM,FTC,NIM,CRW,ILC,CURE,DDK,FRST,BSTY,CSPN,STAK,BERN,ARRR,BTA,MIR,MSR,BSD,SPK,PGN,DVT,PINK,BTX,CTXC,AEON,HUSH,SANDG,PASC,EUC,XVG,SPD,CXT,CARE,EXO,VEC2,QRK,ADM,IBANK,ZIL,IC,2GIVE,CANN,N8V,PXI,DERO,PLNC,GRS,ALEPH,MONA,ZYN,VTC,KRB,TRTL,MCASH,BIS,ATB,FIRO,CARBON,DCY,OWC,NVC,XPTX,VLT,NXS,XDNA,CF,GSR,LBC,VEO,QRL,FUZZ,BTW,MARTK,KTS,ADC,NYC,HC,BIR,SC,DSR,LANA,PNX,SUMO,AREPA,CNT,EVIL,PAK,OBSR,ARO,PIN,CTL,DEM,BITB,EUNO,EXP,ZYD,KURT,42,TRB,MAN,RVN,BBP,DONU,BCD,HTML,FLUX,MAX,CJ,ETP,QBC,ERG,NKN,RUP,MINTME,TTN,SMLY,MONK,CREVA,VIA,XPD,ZET,GLC,ADZ,EMC,ETHO,SUTER,FO,BUZZ,PXC,0xBTC,GNX,DAPS,PWR,NSD,MMO,XBI,TRC,SOCC,BTCV,ZANO,UNO,TENT,DIVI,BTM,DGC,GRIN,ENQ,PUT,ENT,NEVA,BTCZ,ETN,BITG,XPC,TELOS,GB,XUEZ,TROLL,SPR,XAP,BEET,PNY,TUBE,SMART,TAG,SONG,AION,WBB,GIO,INSN,SHND,NEW,HNC,NRG,AXE,SYS,KMD,MST,MOTO,FREED,ZEN,VEIL,GCN,YTN,ARB,LBTC,GLT,PAC,DIN,ZCL,POT,DCR,D,AUR,PPC,DASHG,WEBD,CONX,UNIT,BCA,MAY,FYD,BCN,TZC,CLO,NULS,STEEP,LCC,GRLC,ZCR,CNNC,XDN,ARGUS,DTC,XMY,EGEM,NBR,PEX,XPM,XCN,UBQ,IMS,KAT,TIPS,ZUM,SFX,ZER,BSC,NETKO,CKB,PONZI,CCA,RYO,EPIC,TREX,XHI,IQ,TAJ,DIME,NOTE,FRC,AMS,SCP,BLU,ONX,BTG,YOC,NMC,CHEESE,BEAM,TERA,AE,KLKS,LTCU,MERI,ZUR,ACOIN,DLC,NOR,AYA,START,BOLI,MEME,SWING,DGB,XWP,MEDIC,LTCR,ONION,ANC,XRC,MUNT,CCXX,EMC2,GOSS,CRP,KDA,VRSC,UFO,MOTA"
prediction-markets,"PNK,GNO,PLOT"
cybersecurity,"NCT,HAI,REM,CLBK"
pos,"XTZ,ALIAS,NAV,DUSK,MOJO,CTSI,XPY,OTO,SOL,ZENI,CRW,VAL,PZM,GHOST,GCR,NXT,VIDZ,OXEN,MRX,RBIES,DFT,ENQ,MATIC,SONO,FREED,RING,DONU,PIVX,GRC,BIS,ALGO,ICON,PAC,ASAFE,RBY,NLC,FYD,ION,POST,XHI,ADA,BLK,XBC,BTS,PART,CELO,SUTER,MINT,LTO,DAPS,CAB,EGLD,TON,INJ"
marketing,"RLC,ADS,ATP,JET"
